GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10.1,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts,player_name
2024-11-29,NYK @ CHA,CHA,1628973,22400040,0,2.0,29.0,26.9,35.6,35.6,18.0,5.2,22.488,110.1,110.1,216.2,106.1,31,jalen_brunson
2024-11-29,LAL vs. OKC,OKC,2544,22400048,1,2.0,21.8,22.0,34.8,35.5,18.0,4.0,24.56,107.3,107.3,222.1,114.8,12,lebron_james
2024-11-29,OKC @ LAL,LAL,1628983,22400048,0,2.0,33.6,32.3,37.6,35.6,21.2,10.4,28.976,113.8,113.8,229.2,115.4,36,shai_gilgeous-alexander
2024-11-30,MIL vs. WAS,WAS,203507,22400302,1,5.0,30.4,33.2,34.0,34.8,21.4,8.6,29.384000000000004,122.5,122.5,227.1,104.6,42,giannis_antetokounmpo
2024-11-30,GSW @ PHX,PHX,201939,22400303,0,5.0,22.0,23.5,31.2,31.2,15.4,2.6,20.144,117.2,117.2,229.3,112.1,23,stephen_curry
2024-12-01,NYK vs. NOP,NOP,1628973,22400308,1,2.0,30.0,26.7,37.0,35.2,18.6,7.0,24.28,113.6,113.6,214.0,100.4,16,jalen_brunson
2024-12-01,LAL @ UTA,UTA,2544,22400311,0,2.0,19.0,21.1,34.8,35.5,17.2,2.2,23.168,118.2,118.2,230.0,111.8,27,lebron_james
2024-12-01,OKC @ HOU,HOU,1628983,22400310,0,2.0,33.6,33.0,37.4,36.4,23.0,9.8,30.912,103.8,103.8,220.7,116.9,32,shai_gilgeous-alexander
2024-12-02,MIN vs. LAL,LAL,1630162,22400318,1,3.0,26.6,26.5,38.2,38.6,21.6,6.0,26.84,113.4,113.4,224.7,111.3,8,anthony_edwards
2024-12-02,LAL @ MIN,MIN,2544,22400318,0,1.0,18.2,21.9,34.6,35.6,18.4,2.0,24.08,110.7,110.7,217.5,106.8,10,lebron_james
2024-12-03,DET vs. MIL,MIL,1630595,22400052,1,4.0,22.6,23.7,34.6,36.4,19.6,5.0,25.8,109.2,109.2,224.6,115.4,23,cade_cunningham
